Syntax version=4
Wed Jun 11 09:51:11 2025
Starting process (10000000 clocks per sec)

LogRawData=false
VarHeader=1
D:		pitch_kalman	roll_kalman	MOTangle10	MOTangle100	MOTangle11	MOTangle9	KalmanX.angle	KalmanX.velocity	offset	velocity_k	angle_robot	dt	velocity_robot	KalmanX.bias	KalmanY.bias	DDSangle01	DDSangle30	DDScurrent01	DDScurrent30	DDSrpm01	DDSrpm30	anglex01_offset	anglex30_offset	distnacex01	revolutionx01	DDSangle01m_old	zerocrossx01down	zerocrossx01up	delatx01	distnacex30	DDSvelocity01	DDSvelocity30	iq	Xerror	SSref	Xref	error_lateral	lateral_out	integral_lateral
D:	time(ms)	(0x20000498,7)	(0x20000490,7)	(0x2000066c,6)	(0x20000658,6)	(0x20000694,6)	(0x20000680,6)	(0x200000a8,7)	(0x200000b8,7)	(0x20000000,7)	(0x20000330,7)	(0x20000350,7)	(0x20000478,7)	(0x20000360,7)	(0x200000b0,7)	(0x20000100,7)	(0x20000404,6)	(0x20000420,6)	(0x2000040c,6)	(0x20000428,6)	(0x20000408,6)	(0x20000424,6)	(0x20000448,6)	(0x2000045c,6)	(0x20000444,6)	(0x2000044c,5)	(0x2000041c,6)	(0x20000454,5)	(0x20000450,5)	(0x2000043c,6)	(0x20000458,6)	(0x20000414,6)	(0x20000430,6)	(0x20000328,7)	(0x20000378,7)	(0x200003a8,7)	(0x20000370,7)	(0x20000394,6)	(0x20000390,6)	(0x20000398,6)
D:	256.37	-10.563942	68.055966	-0.000192	0.000192	0.000192	-0.000192	68.055966	-0.022427	-1.500000	0.044650	69.555966	0.019000	0.044650	-3.802001	1.262326	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.673943	0.422067	0.000000
D:	264.99	-10.825022	68.097475	-0.000192	0.000192	0.000192	-0.000192	68.097475	0.075302	-1.500000	-0.019218	69.597475	0.019000	-0.019218	-3.815760	1.481887	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.935022	0.436426	0.000000
D:	273.58	-10.825022	68.097475	-0.000192	0.000192	0.000192	-0.000192	68.097475	0.075302	-1.500000	-0.019218	69.597475	0.019000	-0.019218	-3.815760	1.481887	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.935022	0.436426	0.000000
D:	282.18	-10.825022	68.097475	-0.000192	0.000192	0.000192	-0.000192	68.123414	0.068513	-1.500000	0.069996	69.623414	0.019000	0.069996	-3.824238	1.468131	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.944618	0.436954	0.000000
D:	291.18	-10.834618	68.123414	-0.000192	0.000192	0.000192	-0.000192	68.123414	0.068513	-1.500000	0.069996	69.623414	0.018000	0.069996	-3.824238	1.468131	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.944618	0.436954	0.000000
D:	300.80	-10.834618	68.123414	-0.000192	0.000192	0.000192	-0.000192	68.123414	0.068513	-1.500000	0.069996	69.623414	0.018000	0.069996	-3.824238	1.592459	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8.097160	0.445344	0.000000
D:	309.25	-10.987160	68.135876	-0.000192	0.000192	0.000192	-0.000192	68.135876	0.163383	-1.500000	0.068596	69.635876	0.018000	0.068596	-3.827505	1.592459	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8.097160	0.445344	0.000000
D:	318.14	-10.987160	68.135876	-0.000192	0.000192	0.000192	-0.000192	68.135876	0.163383	-1.500000	0.068596	69.635876	0.018000	0.068596	-3.827505	1.592459	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8.097160	0.445344	0.000000
D:	326.54	-11.002834	68.115550	-0.000192	0.000192	0.000192	-0.000192	68.115550	-0.034211	-1.500000	0.158849	69.615550	0.019000	0.158849	-3.820751	1.584947	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8.112834	0.446206	0.000000
D:	334.51	-11.002834	68.115550	-0.000192	0.000192	0.000192	-0.000192	68.115550	-0.034211	-1.500000	0.158849	69.615550	0.019000	0.158849	-3.820751	1.584947	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0	0.000000	-0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8.112834	0.446206	0.000000
